game_date,team,opponent,record,1st_inning,2nd_inning,3rd_inning,4th_inning,5th_inning,6th_inning,7th_inning,8th_inning,9th_inning,10th_inning,11th_inning,12th_inning,13th_inning,14th_inning,15th_inning,16th_inning,17th_inning,18th_inning,19th_inning,20th_inning,21th_inning,22th_inning,23th_inning,24th_inning,25th_inning,26th_inning,extra_inning,total_innings,runs,hits,errors,result
2016-02-28,Spartans,Phillies,0 - 1 ,0,0,3,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,6,0,L
2016-02-28,Phillies,Spartans,1 - 0 ,3,1,3,0,1,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,8,9,1,W
2016-02-29,Eagles,Red Sox,0 - 1 ,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,0,4,1,L
2016-02-29,Red Sox,Eagles,1 - 0 ,0,0,0,3,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,6,10,0,W
2016-02-29,Mocs,Tigers,0 - 1 ,0,0,0,1,0,1,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,3,2,L
2016-02-29,Tigers,Mocs,1 - 0 ,1,0,0,1,0,0,3,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,7,13,0,W
2016-02-29,Huskies,Red Sox,0 - 1 ,0,0,0,0,1,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,3,6,2,L
2016-02-29,Red Sox,Huskies,2 - 0 ,2,2,1,0,2,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,8,10,1,W
2016-03-01,Pirates,Tigers,1 - 0 ,1,0,0,0,0,1,2,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,10,0,W
2016-03-01,Tigers,Pirates,0 - 1 ,0,0,0,0,0,2,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,6,0,L
2016-03-01,Blue Jays,Phillies,1 - 0 ,2,0,2,0,1,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,5,8,2,W
2016-03-01,Phillies,Blue Jays,0 - 1 ,0,2,0,1,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,5,0,L
2016-03-01,Orioles,Braves,0 - 0 ,1,0,3,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,10,4,7,1,T
2016-03-01,Braves,Orioles,0 - 0 ,0,0,0,0,0,1,1,2,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,10,4,11,1,T
2016-03-01,Reds,Indians,1 - 0 ,1,0,2,2,0,1,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,12,3,W
2016-03-01,Indians,Reds,0 - 1 ,0,1,0,0,1,0,2,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,5,10,1,L
2016-03-01,Hurricanes,Marlins,0 - 1 ,1,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,1,5,0,L
2016-03-01,Marlins,Hurricanes,1 - 0 ,1,0,0,2,0,1,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,5,10,0,W
2016-03-01,Wildcats,D-backs,0 - 1 ,0,0,2,3,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,5,11,2,L
2016-03-01,D-backs,Wildcats,1 - 0 ,2,3,0,4,3,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,12,15,0,W
2016-03-02,Tigers,Pirates,1 - 2 ,4,0,0,0,0,1,0,5,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,10,10,1,W
2016-03-02,Pirates,Tigers,1 - 1 ,0,1,0,0,0,0,0,0,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,6,2,L
2016-03-02,Nationals,Rays,1 - 0 ,0,0,1,0,0,3,2,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,10,2,W
2016-03-02,Rays,Nationals,0 - 1 ,0,0,2,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,9,2,L
2016-03-02,Twins,Red Sox,1 - 0 ,0,0,0,1,2,0,2,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,7,11,0,W
2016-03-02,Red Sox,Twins,0 - 1 ,0,0,0,0,0,0,0,2,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,11,1,L
2016-03-02,Braves,Orioles,1 - 0 ,7,1,0,0,1,0,1,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,11,14,0,W
2016-03-02,Orioles,Braves,0 - 1 ,0,4,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,7,0,L
2016-03-02,Tigers,Yankees,1 - 2 ,0,5,1,1,0,0,0,0,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,9,12,1,L
2016-03-02,Yankees,Tigers,1 - 0 ,0,0,0,3,2,2,1,0,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,10,13,0,W
2016-03-02,Phillies,Blue Jays,0 - 1 ,0,1,0,1,0,0,1,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,8,1,T
2016-03-02,Blue Jays,Phillies,1 - 0 ,0,0,0,3,0,0,0,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,8,0,T
2016-03-02,Indians,Reds,0 - 1 ,0,0,0,2,1,0,1,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,8,2,T
2016-03-02,Reds,Indians,1 - 0 ,0,0,0,1,0,0,2,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,9,2,T
2016-03-02,Angels,Giants,0 - 1 ,0,1,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,1,4,1,L
2016-03-02,Giants,Angels,1 - 0 ,0,0,1,0,0,3,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,9,1,W
2016-03-02,Rangers,Royals,1 - 0 ,0,0,0,0,0,1,2,0,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,13,0,W
2016-03-02,Royals,Rangers,0 - 1 ,0,0,0,0,0,0,1,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,4,1,L
2016-03-02,D-backs,Rockies,1 - 0 ,0,0,0,3,0,3,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,13,0,W
2016-03-02,Rockies,D-backs,0 - 1 ,2,0,0,0,0,0,1,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,6,1,L
2016-03-02,Padres,Mariners,0 - 1 ,0,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,0,4,2,L
2016-03-02,Mariners,Padres,1 - 0 ,0,2,0,2,2,1,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,7,12,1,W
2016-03-02,Owls,Cardinals,0 - 1 ,0,0,0,6,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,7,1,L
2016-03-02,Cardinals,Owls,1 - 0 ,0,0,1,0,0,0,0,12,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,13,11,1,W
2016-03-02,Panthers,Brewers,0 - 1 ,0,2,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,8,0,L
