game_date,team,opponent,record,1st_inning,2nd_inning,3rd_inning,4th_inning,5th_inning,6th_inning,7th_inning,8th_inning,9th_inning,10th_inning,11th_inning,12th_inning,13th_inning,14th_inning,15th_inning,16th_inning,17th_inning,18th_inning,19th_inning,20th_inning,21th_inning,22th_inning,23th_inning,24th_inning,25th_inning,26th_inning,extra_inning,total_innings,runs,hits,errors,result
2018-02-21,Sun Devils,D-backs,0 - 1 ,0,2,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,2,5,0,L
2018-02-21,D-backs,Sun Devils,1 - 0 ,2,0,0,0,1,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,7,7,1,W
2018-02-22,Mocs,Tigers,0 - 1 ,0,0,0,1,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,1,1,1,L
2018-02-22,Tigers,Mocs,1 - 0 ,0,0,0,0,0,0,3,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,8,4,W
2018-02-22,Spartans,Phillies,0 - 1 ,0,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,0,7,3,L
2018-02-22,Phillies,Spartans,1 - 0 ,1,0,0,2,0,0,3,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,7,1,W
2018-02-22,Huskies,Red Sox,0 - 1 ,0,0,2,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,2,4,1,L
2018-02-22,Red Sox,Huskies,1 - 0 ,7,3,5,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,15,8,1,W
2018-02-22,Eagles,Red Sox,0 - 1 ,0,0,0,0,0,0,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,2,3,0,L
2018-02-22,Red Sox,Eagles,2 - 0 ,2,0,0,2,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,7,4,5,1,W
2018-02-22,Golden Gophers,Twins,0 - 1 ,0,0,1,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,1,5,0,L
2018-02-22,Twins,Golden Gophers,1 - 0 ,1,0,0,0,0,0,0,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,5,0,W
2018-02-23,Nationals,Astros,0 - 1 ,0,0,0,0,2,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,4,0,L
2018-02-23,Astros,Nationals,1 - 0 ,0,0,2,0,1,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,4,0,W
2018-02-23,Rays,Orioles,2 - 0 ,1,0,1,0,0,0,2,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,10,0,W
2018-02-23,Orioles,Rays,0 - 1 ,0,0,0,0,0,0,0,0,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,11,0,L
2018-02-23,Pirates,Rays,0 - 1 ,0,1,0,0,0,2,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,5,0,L
2018-02-23,Rays,Pirates,1 - 0 ,0,0,4,0,0,2,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,10,1,W
2018-02-23,Twins,Red Sox,0 - 1 ,0,0,0,0,0,0,1,0,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,6,0,L
2018-02-23,Red Sox,Twins,1 - 0 ,0,0,0,3,0,0,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,5,0,W
2018-02-23,Cardinals,Marlins,0 - 1 ,0,0,0,1,2,0,1,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,10,0,L
2018-02-23,Marlins,Cardinals,1 - 0 ,0,0,0,0,0,1,5,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,9,2,W
2018-02-23,Tigers,Yankees,0 - 1 ,1,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,1,6,0,L
2018-02-23,Yankees,Tigers,1 - 0 ,0,0,0,0,0,3,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,3,6,1,W
2018-02-23,Phillies,Blue Jays,0 - 1 ,0,0,0,0,0,0,0,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,1,6,0,L
2018-02-23,Blue Jays,Phillies,1 - 0 ,2,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,8,0,W
2018-02-23,Braves,Mets,0 - 1 ,0,0,0,0,1,0,0,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,2,7,0,L
2018-02-23,Mets,Braves,1 - 0 ,0,0,0,0,0,0,0,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,5,2,W
2018-02-23,Reds,Indians,1 - 0 ,0,0,2,0,0,2,1,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,6,7,0,W
2018-02-23,Indians,Reds,0 - 1 ,0,1,0,0,0,1,0,2,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,4,7,0,L
2018-02-23,Angels,Athletics,0 - 1 ,2,0,0,0,2,0,0,4,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,8,13,2,L
2018-02-23,Athletics,Angels,1 - 0 ,3,0,0,0,0,4,0,0,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,9,12,1,W
2018-02-23,White Sox,Dodgers,0 - 1 ,0,0,3,2,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N,9,5,6,1,L
